ambassador_id,month,signups,events,active_days,response_rate,satisfaction_score,tasks_completed,tasks_assigned
AMB026,2024-02,72,2,25,93,4.6,12,13
AMB026,2024-03,38,2,16,90,4.4,8,9
AMB027,2024-02,42,1,18,82,4.0,7,9
AMB027,2024-03,56,2,20,85,4.2,9,10
AMB028,2024-02,58,2,21,88,4.3,9,11
AMB028,2024-03,76,3,24,90,4.5,11,12
AMB029,2024-02,18,0,8,42,3.1,2,6
AMB029,2024-03,5,0,3,15,2.5,0,5
AMB030,2024-01,72,3,25,93,4.6,12,13
AMB030,2024-02,78,2,26,94,4.7,13,14
AMB030,2024-03,39,2,16,91,4.5,9,10
AMB031,2024-02,52,2,20,87,4.2,9,11
AMB031,2024-03,71,2,23,89,4.4,11,12
AMB032,2024-02,72,3,24,91,4.5,11,12
AMB032,2024-03,95,3,26,93,4.6,13,14
AMB033,2024-02,62,2,22,89,4.3,10,11
AMB033,2024-03,83,3,25,91,4.5,12,13
AMB034,2024-02,35,1,15,75,3.8,6,9
AMB034,2024-03,43,1,17,78,4.0,7,10
AMB035,2024-01,75,3,26,94,4.7,13,14
AMB035,2024-02,82,3,27,95,4.8,14,15
AMB035,2024-03,41,2,17,92,4.6,9,10
AMB036,2024-02,78,3,25,93,4.6,12,13
AMB036,2024-03,98,3,27,95,4.7,14,14
AMB037,2024-02,38,1,16,78,3.8,6,9
AMB037,2024-03,51,2,19,81,4.0,8,10
AMB038,2024-02,68,2,23,90,4.4,10,11
AMB038,2024-03,88,3,25,92,4.5,12,13
AMB039,2024-02,48,2,19,85,4.1,8,10
AMB039,2024-03,64,2,22,87,4.3,10,11
AMB040,2024-01,52,2,21,88,4.3,9,11
AMB040,2024-02,55,2,22,89,4.4,10,12
AMB040,2024-03,27,1,14,85,4.2,7,9
AMB041,2024-02,28,1,13,70,3.6,5,8
AMB041,2024-03,28,1,14,73,3.8,5,9
AMB042,2024-02,72,3,24,91,4.5,11,12
AMB042,2024-03,95,3,26,93,4.6,13,14
AMB043,2024-02,32,1,13,68,3.5,4,8
AMB043,2024-03,13,0,6,28,3.0,1,6
AMB044,2024-01,72,3,25,93,4.6,12,13
AMB044,2024-02,78,2,26,94,4.7,13,14
AMB044,2024-03,39,2,16,91,4.5,9,10
AMB045,2024-02,52,2,20,87,4.2,9,11
AMB045,2024-03,71,2,23,89,4.4,11,12
AMB046,2024-02,62,2,22,89,4.4,10,11
AMB046,2024-03,83,3,25,91,4.5,12,13
AMB047,2024-02,42,1,18,82,3.9,7,9
AMB047,2024-03,56,2,20,85,4.1,9,10
AMB048,2024-02,68,3,23,90,4.4,11,12
AMB048,2024-03,88,3,25,92,4.6,12,13
AMB049,2024-01,68,3,24,92,4.6,12,13
AMB049,2024-02,72,2,25,93,4.7,13,14
AMB049,2024-03,38,2,16,90,4.5,9,10
AMB050,2024-02,58,2,21,88,4.3,9,11
AMB050,2024-03,76,3,24,90,4.5,11,12
